,country,title,variety,winery,price,year
397,17.575,Cono Sur 2008 Visión Pinot Noir (Colchagua Valley),4511.0,133,15.0,2008
246,47.16,Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills),605.0,134,15.0,2006
389,32.2972972972973,Cantina Terlano 2002 Terlano Classico White (Alto Adige),597.0,135,15.0,2002
438,26.029411764705884,Vinos de Arganza 2012 Século Mencía (Bierzo),57.0,136,15.0,2012
436,32.2972972972973,Tenuta La Marchesa 2015 Gold Label  (Gavi),34.0,137,15.0,2015
242,39.18766066838046,Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley),3298.0,138,15.0,2007
379,32.2972972972973,La Vis 2001 Bianco dei Sorni White (Trentino),597.0,139,15.0,2001
297,39.18766066838046,Aquinas 2008 Cabernet Sauvignon (Napa Valley),3878.0,140,15.0,2008
185,17.575,Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley),61.0,142,15.0,2007
408,32.2972972972973,Le Vigne di Alice 2008 Millesimato Extra Dry  (Prosecco di Conegliano e Valdobbiadene),194.0,143,15.0,2008
373,32.2972972972973,Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio),605.0,145,15.0,2002
382,17.575,Carmen 2000 Estate Grown Reserve Cabernet Sauvignon (Maipo Valley),3878.0,146,15.0,2000
331,17.575,Cono Sur 2008 Visión Gewürztraminer (Casablanca Valley),340.0,133,15.0,2008
1,24.17241379310345,Quinta dos Avidagos 2011 Avidagos Red (Douro),360.0,147,15.0,2011
830,42.0,Domaine de Thulon 2013  Beaujolais-Villages,3298.0,148,15.0,2013
805,39.18766066838046,Firesteed 2012 Riesling (Oregon),2244.0,149,15.0,2012
818,42.0,Les Vins Aujoux 2013 Belle Grâce  (Beaujolais-Villages),172.0,150,15.0,2013
487,32.2972972972973,Marco Cecchini 2010 Tovè White (Colli Orientali del Friuli),597.0,152,15.0,2010
858,39.18766066838046,Firesteed 2014 Pinot Gris (Oregon),434.0,149,15.0,2014
868,17.575,Carmen 2014 Gran Reserva Carmenère (Colchagua Valley),61.0,146,15.0,2014
893,47.16,Hungerford Hill 2008 Heavy Metal Shiraz (South Eastern Australia),420.0,153,15.0,2008
919,32.88235294117647,Domaine Bousquet 2015 Reserve Pinot Gris (Tupungato),434.0,126,15.0,2015
66,42.0,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,3298.0,154,15.0,2015
930,32.88235294117647,Bodega Calle 2014 Alberti 154 Malbec (Mendoza),899.0,155,15.0,2014
934,42.0,Château Saintongey 2014 Vieilles Vignes  (Bordeaux),1244.0,156,15.0,2014
53,42.0,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),15.0,157,15.0,2011
938,26.029411764705884,Covila 2013 II Crianza  (Rioja),250.0,158,15.0,2013
941,26.029411764705884,Ego Bodegas 2014 Goru Verde Monastrell (Jumilla),15.0,159,15.0,2014
948,24.17241379310345,Santos & Seixo 2014 Santos da Casa Tinto Red (Alentejano),360.0,160,15.0,2014
36,17.575,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),15.0,161,15.0,2011
954,39.18766066838046,Archgate Cellars 2014 Reserve Bottling Cabernet Sauvignon (Lodi),3878.0,162,15.0,2014
978,39.18766066838046,X 2008 White X White (North Coast),597.0,164,15.0,2008
5,26.029411764705884,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),15.0,165,15.0,2011
112,32.2972972972973,Podere Ciona 2014 Semifonte Red (Toscana),1997.0,166,15.0,2014
734,32.88235294117647,Durigutti 2014 Bonarda (Mendoza),55.0,167,15.0,2014
253,32.88235294117647,Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo),899.0,168,15.0,2007
608,24.17241379310345,Quinta do Portal 2012 Verdelho and Sauvignon Blanc White (Douro),202.0,169,15.0,2012
501,39.18766066838046,Fenestra 2010 Silvaspoons Vineyard Verdelho (Lodi),15.0,170,15.0,2010
572,32.2972972972973,Brezza 2015  Dolcetto d'Alba,50.0,171,15.0,2015
578,42.0,Château Maison Noble Saint Martin 2015 Château Jean de Bel Air  (Bordeaux),1244.0,172,15.0,2015
601,16.5,Monte Xanic 2012 Viña Kristel Sauvignon Blanc (Valle de Guadalupe),605.0,173,15.0,2012
719,42.0,Cave de Viré 2015 Grande Réserve du Président  (Mâcon-Villages),3298.0,174,15.0,2015
504,42.0,Alain Jaume et Fils 2009 Réserve Grand Veneur Red (Côtes du Rhône),242.0,175,15.0,2009
625,32.2972972972973,Corte Falco 2010  Soave,68.0,176,15.0,2010
661,39.18766066838046,Monte Volpe 2013 Pinot Grigio (Mendocino),60.0,177,15.0,2013
667,26.029411764705884,Rafael Cambra 2012 Soplo Garnacha Tintorera (Valencia),15.0,178,15.0,2012
730,39.18766066838046,Jack's House 2013 Cabernet Sauvignon (California),3878.0,179,16.0,2013
328,39.18766066838046,Beringer 2007 Alluvium Blanc White (Knights Valley),597.0,180,16.0,2007
933,42.0,Château Mougneaux 2014  Bordeaux Supérieur,1244.0,181,16.0,2014
593,18.6,Landhaus Mayer 2016 Riesling (Niederösterreich),2244.0,182,16.0,2016
337,42.0,Château Notre Dame du Quatourze 2015 Rosé (Languedoc),493.0,183,16.0,2015
230,39.18766066838046,Bloomer Creek 2006 Gewürztraminer (Finger Lakes),340.0,184,16.0,2006
148,79.0,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),2244.0,185,16.0,2014
48,39.18766066838046,Trump 2011 Sauvignon Blanc (Monticello),605.0,186,16.0,2011
29,39.18766066838046,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),113.0,187,16.0,2010
321,32.2972972972973,Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene),194.0,188,16.0,2007
505,26.029411764705884,Aleo 2009 Tempranillo (Vino de la Tierra de Castilla y León),250.0,189,16.0,2009
432,39.18766066838046,Pomum 2014 Upland Vineyard Riesling (Snipes Mountain),2244.0,190,16.0,2014
873,124.0,Chateau Dereszla 2014 Dry  (Tokaji),597.0,191,16.0,2014
852,42.0,Domaine Roland Schmitt 2014 Grand A du Petit Léon Sylvaner (Alsace),40.0,193,16.0,2014
842,42.0,Manoir du Carra 2013  Beaujolais-Villages,172.0,194,16.0,2013
81,26.029411764705884,Spyro 2014 Albariño (Rías Baixas),79.0,195,16.0,2014
209,42.0,Domaine St Pierre 2014 Red (Côtes du Rhône),242.0,196,16.0,2014
977,39.18766066838046,Ledgewood Creek 2007 Estate Grown Viognier (Suisun Valley),266.0,197,16.0,2007
811,79.0,Castell 2015 Castell Silvaner (Franken),16.0,198,16.0,2015
982,32.2972972972973,Bellenda 2005 Col di Luna Cabernet Sauvignon (Piave),3878.0,199,16.0,2005
6,32.2972972972973,Terre di Giurfo 2013 Belsito Frappato (Vittoria),16.0,200,16.0,2013
104,32.2972972972973,Madonna Alta 2014 Nativo Red (Toscana),1997.0,201,16.0,2014
396,39.18766066838046,Cline 2007 Ancient Vines Zinfandel (California),603.0,202,16.0,2007
952,26.029411764705884,Agustí Torelló Mata 2015 XIC Xarel-lo (Penedès),16.0,203,16.0,2015
964,32.2972972972973,Fabiano 2006 Argillaia  (Lugana),17.0,204,17.0,2006
269,18.6,Mariell 2009 Blaufränkisch (Leithaberg),17.0,205,17.0,2009
976,39.18766066838046,Kendall-Jackson 2008 Summation Vintner's Reserve White (California),597.0,206,17.0,2008
735,32.88235294117647,El Esteco 2015 Don David Reserve Torrontés (Calchaquí Valley),46.0,207,17.0,2015
945,39.18766066838046,Francis Coppola 2014 Director's Chardonnay (Sonoma County),3298.0,208,17.0,2014
590,39.18766066838046,Vintage Cowboy 2016 Chardonnay (Paso Robles),3298.0,209,17.0,2016
428,18.6,Malat 2015 Crazy Creatures Grüner Veltliner (Kremstal),157.0,210,17.0,2015
610,39.18766066838046,Rodney Strong 2012 Charlotte's Home Estate Sauvignon Blanc (Northern Sonoma),605.0,211,17.0,2012
702,42.0,Château Riotor 2014 Rosé (Côtes de Provence),493.0,212,17.0,2014
387,39.18766066838046,Murphy-Goode 2000 Reserve Fume Sauvignon Blanc (Alexander Valley),605.0,213,17.0,2000
798,42.0,Château Mayne Vieil 2014  Fronsac,1244.0,214,17.0,2014
790,39.18766066838046,Barnard Griffin 2014 Signature Cabernet Sauvignon (Columbia Valley (WA)),3878.0,215,17.0,2014
728,32.88235294117647,Terrazas de Los Andes 2015 Reserva Torrontés (Salta),46.0,216,17.0,2015
738,32.88235294117647,Lagarde 2013 Henry Legarde Malbec (Luján de Cuyo),899.0,217,17.0,2013
577,39.18766066838046,Chateau Lafayette Reneau 2016 Pinot Noir Rosé (Finger Lakes),493.0,218,17.0,2016
498,39.18766066838046,Michael Pozzan 2010 Annabella Pinot Noir (Carneros),4511.0,219,17.0,2010
999,39.18766066838046,Amity 2006 Riesling (Willamette Valley),2244.0,220,17.0,2006
61,32.2972972972973,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),757.0,221,17.0,2015
142,39.18766066838046,Banyan 2007 Riesling (Santa Lucia Highlands),2244.0,222,17.0,2007
128,42.0,Kuentz-Bas 2008 Pinot Blanc (Alsace),93.0,223,17.0,2008
40,32.2972972972973,Feudo Montoni 2011 Catarratto (Sicilia),17.0,78,17.0,2011
28,32.2972972972973,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),1997.0,200,17.0,2011
91,39.18766066838046,Folie à Deux 2015 Pinot Gris (Sonoma Coast),434.0,224,18.0,2015
491,18.6,Winzer Krems 2011 Kellermeister Privat Goldberg Grüner Veltliner (Kremstal),157.0,79,18.0,2011
495,39.18766066838046,Lava Cap 2010 Battonage Chardonnay (El Dorado),3298.0,225,18.0,2010
872,39.18766066838046,J. Scott Cellars 2015 Albariño (Oregon),79.0,226,18.0,2015
376,32.2972972972973,Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli),60.0,229,18.0,2002
77,47.16,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),3298.0,230,18.0,2016
998,39.18766066838046,The Four Graces 2007 Pinot Gris (Dundee Hills),434.0,231,18.0,2007
378,16.5,L.A. Cetto 1996 Private Reserve Nebbiolo (Valle de Guadalupe),1584.0,232,18.0,1996
580,39.18766066838046,Raconteur 2016 White (Washington),597.0,233,18.0,2016
327,17.575,De Martino 2007 Legado Reserva Chardonnay (Limarí Valley),3298.0,32,18.0,2007
229,39.18766066838046,Benessere 2005 Costa Del Sol Red (Napa Valley),1997.0,234,18.0,2005
308,15.333333333333334,Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),597.0,235,18.0,2010
582,39.18766066838046,Seven Falls 2013 Merlot (Wahluke Slope),525.0,236,18.0,2013
310,32.2972972972973,Boffa 2006 Nebbiolo (Langhe),1584.0,237,18.0,2006
311,37.75,Otto's Constant Dream 2008 Syrah (Hawke's Bay),1212.0,238,18.0,2008
385,39.18766066838046,Vinoce 2001 Sauvignon Blanc (Rutherford),605.0,239,18.0,2001
584,18.6,Steininger 2016 Grüner Veltliner (Kamptal),157.0,240,18.0,2016
318,17.575,Aresti 2007 Reserva Merlot (Curicó Valley),525.0,58,18.0,2007
586,18.6,Strauss 2016 Classic Pinot Blanc (Steiermark),93.0,242,18.0,2016
815,39.18766066838046,Finn Hill 2013 Soleil Sauvignon Blanc (Wahluke Slope),605.0,243,18.0,2013
96,42.0,Henry Fessy 2015  Régnié,172.0,10,18.0,2015
906,39.18766066838046,Brennan 2015 Reddy Vineyard Roussanne (Texas High Plains),40.0,244,18.0,2015
912,39.18766066838046,Fullerton 2015 Three Otters Pinot Noir Rosé (Willamette Valley),493.0,245,18.0,2015
488,32.2972972972973,Vigneti Le Monde 2010 Pinot Grigio (Friuli Grave),60.0,104,18.0,2010
322,32.2972972972973,Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene),194.0,188,18.0,2007
997,47.16,Yalumba 2006 Patchwork Shiraz (Barossa),420.0,230,18.0,2006
425,39.18766066838046,Lieb 2015 Bridge Lane Rosé (New York),493.0,246,18.0,2015
426,26.029411764705884,Luberri 2011 Seis  (Rioja),250.0,247,18.0,2011
257,29.11111111111111,Graham Beck 2007 The William Red (Coastal Region),1997.0,248,18.0,2007
115,39.18766066838046,Pull 2013 Chardonnay (Paso Robles),3298.0,249,18.0,2013
114,39.18766066838046,Pull 2012 BDX Red (Paso Robles),1244.0,249,18.0,2012
755,39.18766066838046,Handley 2009 Gewürztraminer (Anderson Valley),340.0,250,18.0,2009
107,32.2972972972973,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),18.0,251,18.0,2015
249,39.18766066838046,Autumn Hill 2007 Petit Verdot-Merlot Red (Monticello),1244.0,253,18.0,2007
100,39.18766066838046,Ventosa 2015 Pinot Gris (Finger Lakes),434.0,254,18.0,2015
960,42.0,Château Cap Saint-Martin 2014  Blaye Côtes de Bordeaux,1244.0,255,18.0,2014
103,17.575,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),3298.0,256,18.0,2015
777,32.2972972972973,Scubla 2008 Cràtis Verduzzo (Colli Orientali del Friuli),18.0,257,18.0,2008
340,42.0,Antoine Moltès & Fils 2015 Tradition Pinot Gris (Alsace),434.0,258,18.0,2015
481,32.2972972972973,Argiolas 2008 Costera Cannonau (Isola dei Nuraghi),33.0,259,18.0,2008
943,26.029411764705884,Finca del Marquesado 2013 Crianza  (Rioja),136.0,260,18.0,2013
196,32.2972972972973,Cesani 2007 Pancole  (Vernaccia di San Gimignano),47.0,261,18.0,2007
924,47.16,Sidewood 2014 Sauvignon Blanc (Adelaide Hills),605.0,262,18.0,2014
958,26.029411764705884,Ignacio Marín 2015 Wine Wings Garnacha Rosé (Cariñena),493.0,263,18.0,2015
588,39.18766066838046,Trinity River 2015 Chardonnay,3298.0,264,18.0,2015
344,17.575,Viña Tarapacá 2015 Gran Reserva Chardonnay (Leyda Valley),3298.0,265,19.0,2015
